Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
150340 Inhangapi,-,-,-,-,1,2,-,-,1,-,1,-,-,5
150345 Ipixuna do Pará,-,-,-,-,3,7,1,1,1,1,-,-,1,15
150350 Irituia,-,-,-,-,-,4,1,3,-,1,-,-,-,9
150360 Itaituba,-,-,-,1,5,18,20,5,7,6,1,1,10,74
150370 Itupiranga,-,-,-,-,3,2,7,3,1,-,-,1,-,17
150375 Jacareacanga,-,-,-,-,-,2,-,3,-,1,-,-,1,7
150380 Jacundá,-,-,-,-,2,3,5,2,-,2,-,-,-,14
150390 Juruti,-,-,-,-,-,2,2,-,-,-,-,-,-,4
150400 Limoeiro do Ajuru,-,-,-,-,-,-,-,1,2,-,-,-,-,3
150405 Mãe do Rio,-,1,-,-,3,3,2,3,-,-,-,-,1,13
150410 Magalhães Barata,-,-,-,-,-,-,1,-,-,-,-,-,-,1
150420 Marabá,1,-,1,1,46,96,59,32,14,7,4,3,13,277
150430 Maracanã,-,-,-,-,1,4,1,-,-,-,-,-,-,6
150440 Marapanim,-,-,-,-,2,4,2,1,-,-,-,-,-,9
150442 Marituba,-,-,-,-,18,42,30,10,3,2,2,1,1,109
150445 Medicilândia,-,-,-,-,2,10,7,3,-,2,-,-,-,24
150460 Mocajuba,-,-,-,1,3,-,2,1,-,-,-,-,-,7
150470 Moju,-,-,-,-,6,21,15,6,3,1,-,-,3,55
150475 Mojuí dos Campos,-,-,-,-,-,-,1,1,1,-,-,-,-,3
150480 Monte Alegre,-,-,2,-,1,1,3,3,-,-,-,-,-,10
150490 Muaná,-,-,-,-,-,-,1,-,-,-,-,-,-,1
150495 Nova Esperança do Piriá,-,-,-,-,4,5,3,2,1,-,-,-,1,16
150497 Nova Ipixuna,-,-,-,-,-,-,2,1,-,-,-,-,-,3
150500 Nova Timboteua,-,-,-,-,-,2,-,1,-,-,-,-,-,3
150503 Novo Progresso,-,-,-,-,1,5,4,3,3,1,-,-,6,23
150506 Novo Repartimento,-,-,-,2,2,9,10,4,7,1,1,-,4,40
150510 Óbidos,-,-,-,-,1,5,-,2,-,-,-,-,-,8
150520 Oeiras do Pará,-,-,-,-,-,1,2,-,-,-,-,-,-,3
150530 Oriximiná,-,-,-,1,3,6,4,-,1,-,-,-,-,15
150540 Ourém,-,-,-,-,1,1,1,1,1,-,-,-,-,5
150543 Ourilândia do Norte,-,-,-,-,1,4,5,2,4,1,-,-,-,17
150548 Pacajá,-,-,-,-,-,9,6,4,5,2,-,-,11,37
150549 Palestina do Pará,-,-,-,-,2,1,-,-,-,-,-,-,-,3
150550 Paragominas,-,-,-,-,8,23,22,10,3,2,-,-,2,70
150553 Parauapebas,-,-,-,-,16,40,19,11,5,2,1,-,3,97
150555 Pau D'Arco,-,-,-,-,-,3,3,3,1,1,-,-,2,13
150560 Peixe-Boi,-,-,-,-,1,1,-,-,-,-,-,-,-,2
150563 Piçarra,-,-,-,-,-,2,-,-,-,1,-,-,-,3
150565 Placas,-,-,-,-,-,2,1,-,1,-,-,-,-,4
150570 Ponta de Pedras,-,-,-,-,-,1,-,-,-,-,-,-,-,1
150580 Portel,-,-,1,2,5,10,1,-,1,-,-,-,-,20
150590 Porto de Moz,-,-,-,-,1,3,-,-,-,1,-,-,-,5
150600 Prainha,-,-,-,-,-,1,-,-,-,-,-,-,-,1
150610 Primavera,-,-,-,-,-,-,1,1,-,-,-,-,-,2
150613 Redenção,1,-,-,3,12,20,18,11,3,2,2,-,2,74
150616 Rio Maria,-,-,-,-,3,4,-,2,1,-,-,-,-,10
150618 Rondon do Pará,-,-,-,-,2,6,7,-,3,1,-,-,-,19
150619 Rurópolis,-,-,-,-,-,1,-,1,-,-,-,-,-,2
150620 Salinópolis,-,-,-,-,4,5,2,2,-,-,-,-,-,13
150630 Salvaterra,-,-,1,-,-,1,3,-,-,-,-,-,-,5
150635 Santa Bárbara do Pará,-,-,-,-,3,2,4,1,-,1,-,-,-,11
150650 Santa Izabel do Pará,-,-,-,-,4,24,17,4,1,-,-,-,2,52
150655 Santa Luzia do Pará,-,-,-,-,-,2,4,-,-,-,-,-,-,6
150658 Santa Maria das Barreiras,-,-,-,-,1,1,5,5,1,-,-,-,-,13
150660 Santa Maria do Pará,-,-,-,-,-,9,1,-,-,-,-,-,-,10
150670 Santana do Araguaia,-,-,-,-,1,-,5,4,1,-,1,-,4,16
150680 Santarém,-,-,-,1,17,44,22,7,8,1,2,1,-,103
150690 Santarém Novo,-,-,-,-,-,1,2,-,-,-,-,-,-,3
150700 Santo Antônio do Tauá,-,-,-,-,3,8,4,2,-,-,-,-,-,17
150710 São Caetano de Odivelas,-,-,-,-,5,6,-,2,-,1,-,-,-,14
150715 São Domingos do Araguaia,-,-,-,-,4,6,4,3,2,-,-,-,1,20
150720 São Domingos do Capim,-,-,-,-,-,2,1,-,-,-,-,-,-,3
150730 São Félix do Xingu,-,-,-,-,2,7,7,5,4,-,-,-,7,32
150740 São Francisco do Pará,-,-,-,-,-,1,-,-,-,-,-,-,-,1
150745 São Geraldo do Araguaia,-,-,-,-,3,1,2,1,2,-,-,-,-,9
150746 São João da Ponta,-,-,-,-,-,-,-,1,-,1,-,-,-,2
150747 São João de Pirabas,-,-,-,-,1,2,1,1,-,-,1,-,-,6
150750 São João do Araguaia,-,-,-,1,1,3,2,-,1,-,-,-,-,8
150760 São Miguel do Guamá,-,-,-,-,3,13,3,1,-,-,-,-,-,20
150770 São Sebastião da Boa Vista,-,-,-,-,-,1,1,-,1,-,-,-,-,3
150775 Sapucaia,-,-,-,-,-,-,-,-,1,-,-,-,-,1
150780 Senador José Porfírio,-,-,-,-,1,3,1,-,-,-,-,-,1,6
150790 Soure,-,-,-,-,1,1,1,1,-,-,-,-,-,4
150795 Tailândia,-,-,1,-,10,25,11,8,1,2,-,-,2,60
150796 Terra Alta,-,-,-,-,-,3,1,2,-,-,-,-,-,6
150800 Tomé-Açu,-,-,-,1,7,17,9,5,3,1,1,1,4,49
150803 Tracuateua,-,-,-,-,2,4,2,1,-,-,-,-,-,9
150805 Trairão,-,-,-,-,-,-,2,-,-,1,-,-,1,4
150808 Tucumã,-,-,-,-,-,5,6,4,-,1,-,-,1,17
150810 Tucuruí,-,-,-,1,21,16,23,9,8,4,1,-,4,87
150812 Ulianópolis,-,-,-,-,2,6,4,4,1,1,-,-,-,18
150815 Uruará,-,-,-,1,4,13,5,7,1,1,1,-,1,34
150820 Vigia,-,-,-,-,2,8,6,4,-,-,-,-,-,20
150830 Viseu,-,-,-,-,-,1,4,-,-,-,-,-,1,6
150835 Vitória do Xingu,-,-,-,-,-,4,2,2,-,-,-,-,-,8
150840 Xinguara,-,-,-,-,-,9,4,1,-,-,-,-,-,14
160020 Calçoene,-,-,-,-,-,3,1,-,-,1,-,-,-,5
160021 Cutias,-,-,-,-,-,1,-,-,-,-,-,-,-,1
160023 Ferreira Gomes,-,-,-,-,1,1,2,1,-,-,-,-,-,5
160027 Laranjal do Jari,-,-,-,-,1,7,6,1,-,-,-,-,-,15
160030 Macapá,2,-,-,5,43,84,56,21,13,1,2,1,-,228
160040 Mazagão,-,-,1,-,-,-,-,1,-,-,-,-,-,2
160050 Oiapoque,-,-,-,-,1,3,2,1,-,-,-,-,-,7
160015 Pedra Branca do Amapari,-,-,-,-,-,1,2,-,-,-,-,-,-,3
160053 Porto Grande,-,-,-,1,1,3,-,1,-,-,-,-,-,6
160060 Santana,-,-,-,-,9,29,10,4,3,1,1,-,-,57
160005 Serra do Navio,-,-,-,-,-,-,-,1,-,-,-,-,-,1
160070 Tartarugalzinho,-,-,-,-,1,3,2,-,-,1,-,-,-,7
160080 Vitória do Jari,-,-,-,-,-,-,-,-,-,1,-,-,-,1
170030 Aguiarnópolis,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170040 Almas,-,-,-,-,1,-,-,-,-,-,-,-,-,1
170070 Alvorada,-,-,-,-,1,-,-,-,-,-,-,-,-,1
170100 Ananás,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170105 Angico,-,-,-,-,-,-,-,1,-,-,-,-,-,1
170110 Aparecida do Rio Negro,-,-,-,-,-,1,-,-,1,-,-,-,-,2
170130 Aragominas,-,-,-,-,-,-,-,1,-,-,-,-,-,1
170190 Araguacema,-,-,-,-,-,-,-,-,-,-,1,-,-,1
170200 Araguaçu,-,-,-,-,-,-,1,-,1,-,-,-,-,2
170210 Araguaína,-,-,-,4,25,53,23,15,7,1,2,1,-,131
170215 Araguanã,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170220 Araguatins,-,-,-,-,-,3,2,1,-,-,1,-,-,7
170230 Arapoema,-,-,-,-,-,-,-,1,-,-,-,-,-,1
170240 Arraias,-,-,-,-,-,2,-,-,-,-,-,-,-,2
170255 Augustinópolis,-,-,-,-,1,3,2,1,-,-,-,1,-,8
170270 Aurora do Tocantins,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170290 Axixá do Tocantins,-,-,-,-,-,-,-,2,1,-,-,-,-,3
170307 Barra do Ouro,-,-,-,-,-,-,-,1,-,-,-,-,-,1
170310 Barrolândia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170330 Bom Jesus do Tocantins,-,-,1,-,-,1,-,-,-,-,-,-,-,2
170370 Brejinho de Nazaré,-,-,-,-,-,1,1,-,-,-,-,-,-,2
170380 Buriti do Tocantins,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170382 Cachoeirinha,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170384 Campos Lindos,-,-,-,-,-,1,-,2,-,-,-,-,-,3
170386 Cariri do Tocantins,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170389 Carrasco Bonito,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170510 Chapada da Natividade,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170550 Colinas do Tocantins,-,-,-,-,1,4,-,-,1,-,-,-,-,6
171670 Colméia,-,-,-,-,-,1,1,1,-,-,-,-,-,3
170555 Combinado,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170560 Conceição do Tocantins,-,-,-,-,1,-,-,1,-,-,1,-,-,3
170610 Cristalândia,-,-,-,-,-,1,-,-,-,1,-,-,-,2
170650 Darcinópolis,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170700 Dianópolis,-,-,-,-,1,3,3,2,-,-,1,-,-,10
170710 Divinópolis do Tocantins,-,-,-,-,1,-,1,-,-,-,-,-,-,2
170720 Dois Irmãos do Tocantins,-,-,-,-,-,2,-,-,-,1,-,-,-,3
170730 Dueré,-,-,-,-,-,-,-,1,-,-,-,-,-,1
170765 Figueirópolis,-,-,-,-,-,-,2,-,-,-,-,-,-,2
170770 Filadélfia,-,-,-,-,1,-,-,1,-,-,-,-,-,2
170820 Formoso do Araguaia,-,-,-,-,-,2,2,-,-,-,-,-,-,4
170825 Fortaleza do Tabocão,-,-,-,-,-,1,-,1,-,-,-,-,-,2
170830 Goianorte,-,-,-,-,-,-,1,-,-,-,-,-,-,1
170900 Goiatins,-,-,-,-,-,1,-,-,-,-,-,-,-,1
170930 Guaraí,-,-,-,-,-,3,1,-,-,2,1,-,-,7
170950 Gurupi,-,-,-,-,14,25,13,6,1,1,-,-,2,62
170980 Ipueiras,-,-,-,-,-,1,1,-,-,-,-,-,-,2
171050 Itacajá,-,-,-,-,-,-,1,-,-,1,-,-,-,2
171180 Juarina,-,-,-,-,-,-,-,-,1,-,-,-,-,1
171190 Lagoa da Confusão,-,-,-,-,-,4,-,-,1,-,-,-,-,5
171195 Lagoa do Tocantins,-,-,-,-,-,-,1,-,-,-,-,-,-,1
171240 Lizarda,-,-,-,1,-,1,-,-,-,1,-,-,-,3
171245 Luzinópolis,-,-,-,-,-,-,-,-,-,1,-,-,-,1
171250 Marianópolis do Tocantins,-,-,-,-,-,-,-,1,-,-,-,-,-,1
171280 Maurilândia do Tocantins,-,-,-,-,-,-,-,-,-,-,1,-,-,1
171320 Miracema do Tocantins,-,-,-,-,1,1,1,1,-,1,-,-,-,5
171330 Miranorte,-,-,-,-,-,2,1,-,-,-,-,-,-,3
171360 Monte do Carmo,-,-,-,-,-,-,-,-,1,-,-,-,-,1
171370 Monte Santo do Tocantins,-,-,-,-,-,-,1,1,-,-,-,-,-,2
171395 Muricilândia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
171420 Natividade,-,-,-,-,-,-,1,-,-,1,1,-,-,3
171488 Nova Olinda,-,-,-,-,1,2,-,-,3,-,-,-,-,6
171500 Nova Rosalândia,-,-,-,-,-,-,-,-,-,1,-,-,-,1
171510 Novo Acordo,-,-,-,-,1,-,-,-,-,-,-,-,-,1
171525 Novo Jardim,-,-,-,-,-,-,1,-,-,-,-,-,-,1
